code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc
603157,拉夏贝尔,-9.938,14.59,15.41,15.68,14.58,16.2,7590016.0,13.85798,115148496.0,13.509,2.037,799052.925678,79909.43
603139,康惠制药,-3.1,20.63,20.89,21.0,20.39,21.29,368600.0,1.47617,7635941.0,23.713,2.33,206052.44,51513.11
603138,海量数据,-3.742,34.21,34.24,35.18,33.0,35.54,2049029.0,7.6886600000000005,70099369.0,48.251,9.886,367206.719,91169.65
603136,天目湖,-8.851,33.47,35.01,35.63,33.38,36.72,1217680.0,6.0884,42143173.0,29.104,3.564,267760.0,66940.0
603133,碳元科技,0.039,25.47,24.79,28.01,24.05,25.46,1605663.0,3.08781,41386796.0,48.057,6.008,529776.0,132444.0
603131,上海沪工,-3.782,17.3,17.18,17.67,17.05,17.98,789300.0,1.5786,13701453.0,21.899,5.333,346000.0,86500.0
603129,春风动力,-2.317,21.08,20.88,21.3,20.58,21.58,912223.0,2.73666,19150578.0,23.955,3.175,281066.8072,70266.8072
603128,华贸物流,-2.108,7.43,7.49,7.6,7.3,7.59,9880202.0,1.08445,73251803.0,29.72,2.049,747023.458679,676933.711273
603127,昭衍新药,-2.705,46.4,47.31,47.31,45.1,47.69,420200.0,2.04976,19431418.0,55.238,7.358,379552.0,95120.0
603126,中材节能,-4.613,7.65,7.77,7.87,7.55,8.02,4395400.0,0.7199700000000001,33790579.0,35.848,3.012,467032.5,467032.5
603123,翠微股份,-2.071,6.62,6.65,6.66,6.5,6.76,1526052.0,0.29115,10053916.0,31.524,1.172,346983.474964,346983.474964
603118,共进股份,-2.869,6.77,6.8,6.88,6.67,6.97,3683355.0,0.9757300000000001,24943445.0,6.3870000000000005,1.224,529290.103584,255566.74176
603117,万林股份,-3.819,8.31,8.48,8.87,8.3,8.64,15116400.0,5.3653,129995397.0,43.737,1.703,384188.694492,234129.123561
603116,红蜻蜓,-2.266,13.8,13.7,13.9,13.61,14.12,1306367.0,0.7229300000000001,18011009.0,20.294,1.687,575736.0,249373.8798
603113,金能科技,-4.762,18.6,18.83,19.14,18.34,19.53,2136035.0,2.76331,40089695.0,26.571,3.33,1257247.3863,143778.0
603111,康尼机电,-3.478,11.1,11.3,11.52,11.0,11.5,5625900.0,1.17279,63149263.0,33.872,5.657,994199.78724,532467.44955
603110,东方材料,-7.037,20.08,20.7,21.2,19.68,21.6,1972414.0,7.68472,40410321.0,25.418,4.683,206154.7336,51538.7336
